is_RT	retweet_from	whole_tweet_text	original_text	retweet_text	stopwords_removed_retweet_text
1	DanScavino	"RT @DanScavino: Join President-elect Trump LIVE from Mobile, Alabama via his #Facebook page! #ThankYouTour2016 
Watch: https://t.co/btzN080…"		" Join President-elect Trump LIVE from Mobile, Alabama via his #Facebook page! #ThankYouTour2016 
Watch: https://t.co/btzN080…"	"Join LIVE Mobile Alabama via ThankYouTour2016 
Watch"
1		"""@ShadesOfLilac: RT “@realDonaldTrump: We should not be importing the disease to our homeland.” Completely agree, Mr. Trump."""	" ""@ShadesOfLilac:"	" “@realDonaldTrump: We should not be importing the disease to our homeland.” Completely agree, Mr. Trump."""	importing homeland agree Mr Trump
1	realDonaldTrump	"RT @realDonaldTrump: Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"		" Happy Birthday @DonaldJTrumpJr!
https://t.co/uRxyCD3hBz"	Happy
1	Reince	RT @Reince: Happy New Year + God's blessings to you all.  Looking forward to incredible things in 2017!  @realDonaldTrump will Make America…		 Happy New Year + God's blessings to you all. Looking forward to incredible things in 2017! @realDonaldTrump will Make America…	Happy Year blessings all Looking forward things 2017 realDonaldTrump
1	IvankaTrump	RT @IvankaTrump: 2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Happy New…		 2016 has been one of the most eventful and exciting years of my life. I wish you peace, joy, love and laughter. Happy New…	2016 one exciting years life wish peace love Happy New
1	jamestaranto	RT @jamestaranto: Serious people worry China will start a war because Trump talked on the phone with Taiwan's president. Who is the crazy o??e		 Serious people worry China will start a war because Trump talked on the phone with Taiwan's president. Who is the crazy o??e	Serious people worry start war Trump phone Taiwans crazy oe
1		.@alexsalmond @pressjournal @BBCNews RT ‏@DanScavino the photos that they don't show the public... http://t.co/io18z7NM9b	 .@alexsalmond @pressjournal @BBCNews	 ‏@DanScavino the photos that they don't show the public... http://t.co/io18z7NM9b	photos show public
1	DanScavino	.@alexsalmond @pressjournal @BBCNews RT @DanScavino - one would think the photo & caption - says it all.... http://t.co/0nOkuUvuuV	 .@alexsalmond @pressjournal @BBCNews	 - one would think the photo & caption - says it all.... http://t.co/0nOkuUvuuV	one think photo says all
1	King_Pepp	.@alexsalmond RT @King_Pepp Driving through Indiana and seeing tons of ugly windmills. Now I know what @realDonaldTrump is talking about	 .@alexsalmond	 Driving through Indiana and seeing tons of ugly windmills. Now I know what @realDonaldTrump is talking about	Driving tons ugly realDonaldTrump talking
1	realDonaldTrump	"""@JayGW804: RT @realDonaldTrump: The secret of getting ahead is getting started. -- Mark Twain"""	" ""@JayGW804:"	" The secret of getting ahead is getting started. -- Mark Twain"""	secret getting getting started Twain
1	rdowns	.@alexsalmond @pressjournal RT @rdowns @realdonaldtrump Margaret Thatcher NEVER would have allowed those wind mill monstrosities.	 .@alexsalmond @pressjournal	 @realdonaldtrump Margaret Thatcher NEVER would have allowed those wind mill monstrosities.	Margaret Thatcher would mill
1	MeetThePress	"RT @MeetThePress: Watch our interview with @KellyannePolls: Russia ""did not succeed"" in attempts to sway election https://t.co/EZhgUIUbYx #…"		" Watch our interview with @KellyannePolls: Russia ""did not succeed"" in attempts to sway election https://t.co/EZhgUIUbYx #…"	Watch KellyannePolls Russia succeed election
1	MichaelCohen212	RT @MichaelCohen212: I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D		 I have never been to Prague in my life. #fakenews https://t.co/CMil9Rha3D	never Prague life fakenews
1		"""@tobylight11: Hi can u RT my daughter #JODIEDIXON she died 03/05/2014 age16 with cystic fibrosis thanx Jodie's dad http://t.co/jPoOB7OsTG"""	" ""@tobylight11: Hi can u"	" my daughter #JODIEDIXON she died 03/05/2014 age16 with cystic fibrosis thanx Jodie's dad http://t.co/jPoOB7OsTG"""	JODIEDIXON 03052014 age16 fibrosis thanx Jodies dad
1	MoskowitzEva	RT @MoskowitzEva: .@BetsyDeVos has the talent, commitment, and leadership capacity to revitalize our public schools and deliver the promise…		 .@BetsyDeVos has the talent, commitment, and leadership capacity to revitalize our public schools and deliver the promise…	talent capacity revitalize schools promise
1	EricTrump	"RT @EricTrump: Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…"		" Thank you to @GolfDigest for this incredible feature! ""Golfer-in-Chief"" @RealDonaldTrump https://t.co/vpdY4jNbI4 https://t.c…"	Thank GolfDigest GolferinChief RealDonaldTrump
1	WhiteHouse	"RT @WhiteHouse: ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""…"		" ""Do not allow anyone to tell you that it cannot be done. No challenge can match the HEART and FIGHT and SPIRIT of America.""…"	Do anyone cannot challenge match FIGHT America
1	IvankaTrump	RT @IvankaTrump: Check out my May Redbook magazine cover. Very exciting! #Redbook http://t.co/xVp4QhZ3IL		 Check out my May Redbook magazine cover. Very exciting! #Redbook http://t.co/xVp4QhZ3IL	Check May Redbook magazine Redbook
1	passantino	RT @passantino: CNN reporting China has already contacted the White House over Trump? call with Taiwan pres https://t.co/4Itscs8Eq1n 		 CNN reporting China has already contacted the White House over Trump? call with Taiwan pres https://t.co/4Itscs8Eq1n	CNN reporting China already contacted House call Taiwan pres
1	bobcesca_go	"RT @bobcesca_go: For the last 15 months, I've been talking incessantly about ""a million things we can't even predict"" with Trump. Taiwan/Ch??e"		" For the last 15 months, I've been talking incessantly about ""a million things we can't even predict"" with Trump. Taiwan/Ch??e"	last 15 Ive talking incessantly things cant even Trump
1	DoralResort	RT @DoralResort: Thanks! RT @gem3wood: @DonaldJTrumpJr You guys @DoralResort have one hell of a leaderboard. Love this Tournament.		 Thanks! @gem3wood: @DonaldJTrumpJr You guys @DoralResort have one hell of a leaderboard. Love this Tournament.	Thanks gem3wood guys one hell Love
1	Kamgirl47	RT @Kamgirl47: #ElectoralCollege Trump has worried India by saying he'd go 2 Pakistan &amp; pissed off China by speaking w/ Taiwan Pres. Only y??i		 #ElectoralCollege Trump has worried India by saying he'd go 2 Pakistan &amp; pissed off China by speaking w/ Taiwan Pres. Only y??i	ElectoralCollege Trump worried India hed 2 Pakistan pissed China speaking w Taiwan Pres
1	comradewong	RT @comradewong: Taiwan News reported Nov. 16 that Trump was considering building luxury hotels in Taoyuan. https://t.co/RzW2cHWQVo Eric Tr??e		 Taiwan News reported Nov. 16 that Trump was considering building luxury hotels in Taoyuan. https://t.co/RzW2cHWQVo Eric Tr??e	Taiwan Nov Trump considering building hotels Taoyuan Tre
1	blakehounshell	RT @blakehounshell: China has lodged ?olemn representations??with the U.S. over Trump? phone call with Taiwan https://t.co/TtvIAVhDDNNY D??		 China has lodged ?olemn representations??with the U.S. over Trump? phone call with Taiwan https://t.co/TtvIAVhDDNNY D??	China olemn US phone call D
1	BaileyPittipat	RT @BaileyPittipat: @anneapplebaum 		 @anneapplebaum	
1	FT	RT @FT: Instant Insight: Trump? dangerous Taiwan gambit https://t.co/FdnP52HRFv https://t.co/VfVDMPhJ7Mp 		 Instant Insight: Trump? dangerous Taiwan gambit https://t.co/FdnP52HRFv https://t.co/VfVDMPhJ7Mp	Instant Insight gambit
1	kurteichenwald	RT @kurteichenwald: Umm...Trump called Taiwan leader. Wow. Reagan, Bush, Bush and every dem president since 79 would be/must be flabbergast??n		 Umm...Trump called Taiwan leader. Wow. Reagan, Bush, Bush and every dem president since 79 would be/must be flabbergast??n	UmmTrump leader Wow Reagan Bush Bush dem president since would bemust
1	EricLiptonNYT	RT @EricLiptonNYT: President-elect Trump calls president of Taiwan today. Meanwhile, Trump Org apparently looking to expand into Tawian htt??n		 President-elect Trump calls president of Taiwan today. Meanwhile, Trump Org apparently looking to expand into Tawian htt??n	Presidentelect Trump calls today Meanwhile Org apparently looking expand Tawian httn
1	davidbweinstein	RT @davidbweinstein: Incompetence is really the primary threat from the #Trump administration. https://t.co/tbhXqikV6i		 Incompetence is really the primary threat from the #Trump administration. https://t.co/tbhXqikV6i	Incompetence really threat Trump administration
1	KevinMcLaughlin	RT @KevinMcLaughlin: Obama secretly talks to Iran and North Korea he's a genius. Trump calls Taiwan and the world is gonna end. What a joke.		 Obama secretly talks to Iran and North Korea he's a genius. Trump calls Taiwan and the world is gonna end. What a joke.	Obama secretly Korea hes genius calls gonna
1	gideonrachman	RT @gideonrachman: This extract from my book Easternisation gives a flavour of why Trump's Taiwan phone call is so potentially dangerous ht??n		 This extract from my book Easternisation gives a flavour of why Trump's Taiwan phone call is so potentially dangerous ht??n	extract book Easternisation gives flavour Taiwan phone call potentially
1	cnnbrk	"RT @cnnbrk: China's foreign minister calls Trump-Tsai phone call ""a shenanigan by the Taiwan side."" https://t.co/fazLTJPCZM https://t.co/yO??n"		" China's foreign minister calls Trump-Tsai phone call ""a shenanigan by the Taiwan side."" https://t.co/fazLTJPCZM https://t.co/yO??n"	Chinas foreign calls phone a shenanigan Taiwan
1	RiskyLiberal	RT @RiskyLiberal: We know Trump is an evasive, constant liar. He lied about Taiwan calling him in tweet. Lied to America. He'll lie to the???		 We know Trump is an evasive, constant liar. He lied about Taiwan calling him in tweet. Lied to America. He'll lie to the???	know Trump constant liar lied calling Lied America Hell lie
1	ajplus	RT @ajplus: BREAKING: Trump spoke w/ Pres Tsai Ing-wen of Taiwan. It's the first time a U.S. president-elect &amp; Taiwan? leader have spoken???io		 BREAKING: Trump spoke w/ Pres Tsai Ing-wen of Taiwan. It's the first time a U.S. president-elect &amp; Taiwan? leader have spoken???io	BREAKING Trump spoke w Pres Tsai Ingwen Taiwan first time US presidentelect Taiwan spokenio
1	NormOrnstein	RT @NormOrnstein: What precipitated the deeply destructive rogue call to Taiwan? More than likely it was Michael Flynn whispering in Trump'?? 		 What precipitated the deeply destructive rogue call to Taiwan? More than likely it was Michael Flynn whispering in Trump'??	precipitated destructive rogue call Taiwan Flynn
1	DCAbloob	RT @DCAbloob: @Teknofish @FT More like he doesn't have a clue. I doubt Trump even realized that calling Taiwan's president would be an issu??e		 @Teknofish @FT More like he doesn't have a clue. I doubt Trump even realized that calling Taiwan's president would be an issu??e	FT like doubt Trump even realized calling president would
1	AP	RT @AP: Trump speaks with Taiwan's president, risking China tensions. https://t.co/EamU1S44E7		 Trump speaks with Taiwan's president, risking China tensions. https://t.co/EamU1S44E7	Trump speaks president risking tensions
1	NOBLE74	.@alexsalmond RT @NOBLE74 I live in Aberdeenshire & I'm with you, you have made a big difference to that bit (cont) http://t.co/lEDWYOIhNr	 .@alexsalmond	 I live in Aberdeenshire & I'm with you, you have made a big difference to that bit (cont) http://t.co/lEDWYOIhNr	live Im made big difference bit cont
1	RichWaugaman	.@alexsalmond RT @RichWaugaman This time I agree 100% I never knew how useless a wind turbine was until I (cont) http://t.co/5z0lUko0Ft	 .@alexsalmond	 This time I agree 100% I never knew how useless a wind turbine was until I (cont) http://t.co/5z0lUko0Ft	time 100 useless wind cont
1	islandbluenose	.@alexsalmond RT @islandbluenose You'll be doing us in scotland a great service if you win. Good Luck.	 .@alexsalmond	 You'll be doing us in scotland a great service if you win. Good Luck.	us scotland great service Luck
1	DrTomMartinPhD	RT @DrTomMartinPhD: Donald Trump's idiocy (re: Taiwan), is how wars get started. His idiocy is going to get us blown up. Idiot! Idiot! Idio?? 		 Donald Trump's idiocy (re: Taiwan), is how wars get started. His idiocy is going to get us blown up. Idiot! Idiot! Idio??	Donald idiocy Taiwan wars get started idiocy Idiot Idio
1	RiskyLiberal	RT @RiskyLiberal: Trump just destroyed 37 yrs of US-China-Taiwan balance because he wants to build a hotel and make money. The world? He co?? 		 Trump just destroyed 37 yrs of US-China-Taiwan balance because he wants to build a hotel and make money. The world? He co??	Trump destroyed yrs USChinaTaiwan balance wants build co
1	SenTomCotton	RT @SenTomCotton: My statement on President-elect Trump? phone call with Taiwan President Tsai Ing-wen: https://t.co/2jY7HUJFdKor		 My statement on President-elect Trump? phone call with Taiwan President Tsai Ing-wen: https://t.co/2jY7HUJFdKor	President Tsai
1	FoxNews	RT @FoxNews: Trump speaks with Taiwan's president, risking China tensions https://t.co/NUFEU8tcvt via @foxnewspolitics https://t.co/Yjwee1R?? 		 Trump speaks with Taiwan's president, risking China tensions https://t.co/NUFEU8tcvt via @foxnewspolitics https://t.co/Yjwee1R??	Trump speaks president risking tensions foxnewspolitics
1	ChinaBizWatch	RT @ChinaBizWatch: China has lodged a diplomatic protest following Trump's call with Taiwan's presi.. https://t.co/arTefaRxpg https://t.co/?? 		 China has lodged a diplomatic protest following Trump's call with Taiwan's presi.. https://t.co/arTefaRxpg https://t.co/??	China protest following Taiwans
1	phil500	RT @phil500: Trump is playing dangerous and reckless politics #Taiwan #China #PresidentElectTrump		 Trump is playing dangerous and reckless politics #Taiwan #China #PresidentElectTrump	Trump playing reckless China PresidentElectTrump
1	inperilous1	RT @inperilous1: @GeorgeTakei Where we're you when Obama sold 1.8 billion dollars worth of military equip to Taiwan.But hey Trump made a ph??e		 @GeorgeTakei Where we're you when Obama sold 1.8 billion dollars worth of military equip to Taiwan.But hey Trump made a ph??e	were Obama sold 18 dollars worth military equip TaiwanBut hey Trump made phe
1	BBCBreaking	RT @BBCBreaking: Donald Trump speaks directly with Taiwan's president - breaking with US policy set in 1979 when ties were cut https://t.co??e		 Donald Trump speaks directly with Taiwan's president - breaking with US policy set in 1979 when ties were cut https://t.co??e	Donald speaks president breaking policy set 1979
1	MELANIATRUMP	RT @MELANIATRUMP “@ApprenticeNBC: Her beauty lives 05,000 miles past Heaven. http://t.co/Edhyw5oupw ” Thank u @THEGaryBusey!		 “@ApprenticeNBC: Her beauty lives 05,000 miles past Heaven. http://t.co/Edhyw5oupw ” Thank u @THEGaryBusey!	beauty lives 05000 miles past Heaven Thank u THEGaryBusey
1	RealBHorowitz	RT @RealBHorowitz: @VinceMcMahon @realDonaldTrump @WWE My two favorite billionaires!		 @VinceMcMahon @realDonaldTrump @WWE My two favorite billionaires!	realDonaldTrump two favorite billionaires
1	PaulaReidCBS	"RT @PaulaReidCBS: .@CBSNews confirms FBI found emails on #AnthonyWeiner computer, related to Hillary Clinton server, that are ""new"" & not p…"		" .@CBSNews confirms FBI found emails on #AnthonyWeiner computer, related to Hillary Clinton server, that are ""new"" & not p…"	confirms FBI found emails AnthonyWeiner computer Hillary server new p
1	realDonaldTrump	"""@TheNewsClub_US: RT @realDonaldTrump ""@laurencristmann: @topcota1SG @PhxKen i can't wait to cast my vote for Donald J TRUMP… #RT #CNN #HBO"""	" ""@TheNewsClub_US:"	" ""@laurencristmann: @topcota1SG @PhxKen i can't wait to cast my vote for Donald J TRUMP… #RT #CNN #HBO"""	topcota1SG PhxKen cant wait cast vote CNN HBO
1	mrgrumpystephen	"""@_spock: RT @mrgrumpystephen: Hi @realDonaldTrump it’s my birthday any chance of a retweet"" Happy birthday!"	" ""@_spock:"	" Hi @realDonaldTrump it’s my birthday any chance of a retweet"" Happy birthday!"	Hi its birthday Happy
1	transition2017	RT @transition2017: President-elect Trump announces selections for Attorney General, National Security Advisor, CIA Director. More here: ht…		 President-elect Trump announces selections for Attorney General, National Security Advisor, CIA Director. More here: ht…	Presidentelect Trump announces General National Advisor CIA Director here
1	EWErickson	RT @EWErickson: Personally I think it is awesome that @realDonaldTrump listens to @DLoesch on the radio. She's awesome.		 Personally I think it is awesome that @realDonaldTrump listens to @DLoesch on the radio. She's awesome.	Personally think awesome realDonaldTrump listens DLoesch
1	IvankaTrump	RT @IvankaTrump: Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! #Election2…		 Such a surreal moment to vote for my father for President of the United States! Make your voice heard and vote! #Election2…	surreal moment father President United States heard Election2
1	EricTrump	RT @EricTrump: Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! Please #VOTE for America! https:…		 Join my family in this incredible movement to #MakeAmericaGreatAgain!! Now it is up to you! Please #VOTE for America! https:…	Join MakeAmericaGreatAgain you VOTE
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! #MAGA #ElectionDay ht…		 FINAL PUSH! Eric and I doing dozens of radio interviews. We can win this thing! GET OUT AND VOTE! #MAGA #ElectionDay ht…	FINAL PUSH Eric dozens radio interviews win GET VOTE ElectionDay ht
1	DonaldJTrumpJr	RT @DonaldJTrumpJr: Thanks New Hampshire!!! #NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk		 Thanks New Hampshire!!! #NH #NewHampshire #MAGA https://t.co/JDgcyJvJpk	Thanks New NH NewHampshire
1	detroitnews	RT @detroitnews: .@IvankaTrump in Michigan: ‘This is your movement’ https://t.co/0Sa7huoOP1 @realDonaldTrump https://t.co/cMXEqSHuDj		 .@IvankaTrump in Michigan: ‘This is your movement’ https://t.co/0Sa7huoOP1 @realDonaldTrump https://t.co/cMXEqSHuDj	Michigan This movement realDonaldTrump
1	IvankaTrump	RT @IvankaTrump: Thank you New Hampshire! _x1f1fa__x1f1f8_ https://t.co/pdnxXq2jgy		 Thank you New Hampshire! _x1f1fa__x1f1f8_ https://t.co/pdnxXq2jgy	Thank Hampshire x1f1fax1f1f8
1	DanScavino	RT @DanScavino: Join @realDonaldTrump LIVE in Denver, Colorado via his #Facebook page- we are here!! #MakeAmericaGreatAgain_x1f1fa__x1f1f8_ https://t.c…		 Join @realDonaldTrump LIVE in Denver, Colorado via his #Facebook page- we are here!! #MakeAmericaGreatAgain_x1f1fa__x1f1f8_ https://t.c…	Join Denver Colorado via page here
1	TeamTrump	RT @TeamTrump: Mrs. Saucier's son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE & is runnin…		 Mrs. Saucier's son is in prison for having classified info on an unsecured device. @HillaryClinton did FAR WORSE & is runnin…	Mrs Sauciers prison classified unsecured HillaryClinton WORSE
1	T_Lineberger	RT @T_Lineberger: Thanks @IvankaTrump for coming to help win Michigan! More people here than a Hillary rally with less than 24 hours notice…		 Thanks @IvankaTrump for coming to help win Michigan! More people here than a Hillary rally with less than 24 hours notice…	Thanks IvankaTrump coming win Michigan people rally less 24 hours notice
1	DanScavino	RT @DanScavino: Join @realDonaldTrump LIVE in Wisconsin with Gov. @ScottWalker, @MayorRGiuliani, @Reince & Coach Bobby Knight! LIVE: https:…		 Join @realDonaldTrump LIVE in Wisconsin with Gov. @ScottWalker, @MayorRGiuliani, @Reince & Coach Bobby Knight! LIVE: https:…	Join Wisconsin Gov ScottWalker Reince Bobby LIVE
1	realDonaldTrump	"""@DrewMadeOFF: RT @realDonaldTrump Does @VanityFair realize that the purpose of a magazine is to sell issues?"""	" ""@DrewMadeOFF:"	" Does @VanityFair realize that the purpose of a magazine is to sell issues?"""	realize purpose magazine issues
1	realDonaldTrump	"""@DrewMadeOFF: RT @realDonaldTrump Circulation @ record low. Spy Mag also failed under Graydon."" @VanityFair Magazine"	" ""@DrewMadeOFF:"	" Circulation @ record low. Spy Mag also failed under Graydon."" @VanityFair Magazine"	Circulation record low Spy Mag VanityFair Magazine
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: WSJ: The Cold Clinton Reality... https://t.co/udWj5mXcA6		 WSJ: The Cold Clinton Reality... https://t.co/udWj5mXcA6	WSJ Cold Clinton Reality
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: WSJ: Grifters-in-Chief... https://t.co/mPFocMuBgu		 WSJ: Grifters-in-Chief... https://t.co/mPFocMuBgu	WSJ GriftersinChief
1	EricTrump	RT @EricTrump: Tune into @GMA right now to catch a great interview with my father & the entire family! _x1f1fa__x1f1f8_ #VoteTrumpPence16 https://t.co/Sa…		 Tune into @GMA right now to catch a great interview with my father & the entire family! _x1f1fa__x1f1f8_ #VoteTrumpPence16 https://t.co/Sa…	Tune GMA right catch interview father entire x1f1fax1f1f8 VoteTrumpPence16
1	realDonaldTrump	"""@SuccessCoaching: RT @realDonaldTrump ""Success is having to worry about every damn thing in the world, except money."" - Johnny Cash"""	" ""@SuccessCoaching:"	" ""Success is having to worry about every damn thing in the world, except money."" - Johnny Cash"""	Success worry thing world except Cash
1		"""@macresslertech: RT ObamaCare premiums could jump as high as 51% http://t.co/5jF0J3OY3X Terrible for economy. Repeal & Replace."	" ""@macresslertech:"	 ObamaCare premiums could jump as high as 51% http://t.co/5jF0J3OY3X Terrible for economy. Repeal & Replace.	ObamaCare premiums high 51 Terrible economy Repeal
1	FoxNews	"""@JeremyHL: RT @FoxNews: .@realDonaldTrump: I have thousands of Hispanics working for me & they like me very much. http://t.co/A7RaXDC4gH"""	" ""@JeremyHL:"	" .@realDonaldTrump: I have thousands of Hispanics working for me & they like me very much. http://t.co/A7RaXDC4gH"""	thousands Hispanics working much
1	accesshollywood	RT @accesshollywood: @realDonald Trump: 'Celebrity Apprentice' Season 5 is 'Tough, Nasty & Smart.' Watch: http://t.co/l7K0D9Cx		 @realDonald Trump: 'Celebrity Apprentice' Season 5 is 'Tough, Nasty & Smart.' Watch: http://t.co/l7K0D9Cx	Trump Celebrity Season 5 Tough Watch
1	DRUDGE_REPORT	RT @DRUDGE_REPORT: TRUMP STUMPS... http://t.co/OD9NFMqbPd		 TRUMP STUMPS... http://t.co/OD9NFMqbPd	TRUMP STUMPS
1	OCChoppers	RT @OCChoppers: Bike we built for @realDonaldTrump. The gold flakes in the paint out in the sunlight looked amazing! http://t.co/Ku6NIvZi		 Bike we built for @realDonaldTrump. The gold flakes in the paint out in the sunlight looked amazing! http://t.co/Ku6NIvZi	Bike built realDonaldTrump gold flakes sunlight amazing
1	realDonaldTrump	"""@TheNewsClub_US: RT @realDonaldTrump Will be interviewed on @foxandfriends at 8:30. #RT #CNN #HBO"""	" ""@TheNewsClub_US:"	" Will be interviewed on @foxandfriends at 8:30. #RT #CNN #HBO"""	interviewed foxandfriends 830 RT HBO
1	DanScavino	RT @DanScavino: Back to Cincinnati, Ohio this Thursday (12/1/16) at 7pm for #PEOTUS @realDonaldTrump's #ThankYouTour2016! Join us! https://…		 Back to Cincinnati, Ohio this Thursday (12/1/16) at 7pm for #PEOTUS @realDonaldTrump's #ThankYouTour2016! Join us! https://…	Back Cincinnati Ohio 7pm PEOTUS realDonaldTrumps Join us
1	DanScavino	RT @DanScavino: Great interview on @foxandfriends by @SteveDoocy w/ Carrier employee- who has a message for #PEOTUS @realDonaldTrump & #VPE…		 Great interview on @foxandfriends by @SteveDoocy w/ Carrier employee- who has a message for #PEOTUS @realDonaldTrump & #VPE…	Great interview SteveDoocy Carrier PEOTUS realDonaldTrump VPE
1		"""@TheNewsClub_US: RT ""@MNMans: Polling Convergence - OAN/GRAVIS and Reuters… http://t.co/3NXztsLOhx #RT #CNN #HBO http://t.co/zzKm8wUYqY"""	" ""@TheNewsClub_US:"	" ""@MNMans: Polling Convergence - OAN/GRAVIS and Reuters… http://t.co/3NXztsLOhx #RT #CNN #HBO http://t.co/zzKm8wUYqY"""	Polling Convergence OANGRAVIS Reuters RT CNN HBO
1	realDonaldTrump	"""@raybongz: RT @realDonaldTrump: It should be mandatory that all haters and losers use their real name or identification. Say it again!"	" ""@raybongz:"	 It should be mandatory that all haters and losers use their real name or identification. Say it again!	haters use real name Say
1	Deaf_Dwayne	"""@trapman2000: RT @Deaf_Dwayne: @realDonaldTrump Thanks for not being politically correct! America needs the truth."	" ""@trapman2000:"	 @realDonaldTrump Thanks for not being politically correct! America needs the truth.	Thanks politically America
1	martintagg	"""@Canvasguru: Lol! RT @martintagg: .@realDonaldTrump You've been popular with ladies for a while. What's your secret handsome?"" My hair!"	" ""@Canvasguru: Lol!"	" .@realDonaldTrump You've been popular with ladies for a while. What's your secret handsome?"" My hair!"	popular ladies while handsome hair
1	realDonaldTrump	"""@VineCulture: RT @realDonaldTrump: .@WineEnthusiast awarded Trump Vineyard’s Sparkling Reserve 91 points --- the highest rated wine V."	" ""@VineCulture:"	 .@WineEnthusiast awarded Trump Vineyard’s Sparkling Reserve 91 points --- the highest rated wine V.	awarded Trump Sparkling Reserve 91 points highest
1	PetsAliveWest	"""@GilCharles: @realDonaldTrump can I get a RT for @PetsAliveWest in NY. Saving lots of animals."""	" ""@GilCharles: @realDonaldTrump can I get a"	" for in NY. Saving lots of animals."""	NY Saving animals
1	realDonaldTrump	"""@RocRx: RT @realDonaldTrump Everybody should contribute & fight in the long haul battle against autism. @autismspeaks"" GREAT!"	" ""@RocRx:"	" Everybody should contribute & fight in the long haul battle against autism. @autismspeaks"" GREAT!"	Everybody contribute battle autism GREAT
1	Newsmax_Media	RT @Newsmax_Media: Trumps Warns of Obama Tipping Point that May Destroy America http://t.co/CnHhZArl via @Newsmax_media		 Trumps Warns of Obama Tipping Point that May Destroy America http://t.co/CnHhZArl via @Newsmax_media	Trumps Warns Tipping May America Newsmaxmedia
